video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
RGXLdMuM7EY,UCXIJgqnII2ZOINSWNOGFThA,Biden: 'Trump failed us' in response to coronavirus,Fox News,News & Politics,none,74375,736,0,2629,2020-06-30T18:05:58Z,"Fox News Channel,Fox News,News,FNC,live stream,live,fox,live video,live updates,fox live stream,fox news live,live fox news,fox news live stream,biden,joe biden,biden 2020,joe biden 2020,biden campaign,joe biden campaign,2020 presidential elections,2020 candidates,democratic nominee,biden live,biden press conference,biden coronavrius",PT51M21S,hd,true,https://i.ytimg.com/vi/RGXLdMuM7EY/default.jpg,https://www.youtube.com/watch?v=RGXLdMuM7EY
ocLK8aEXR98,UCXIJgqnII2ZOINSWNOGFThA,CDC analysis shows coronavirus poses serious risk for young people,Fox News,News & Politics,none,125505,2043,0,868,2020-03-19T04:03:18Z,"fox news @ night,personality,health|infectious_disease,health|infectious_disease|coronavirus,primary_health,health,personality|shannon_bream,on_air",PT5M45S,hd,true,https://i.ytimg.com/vi/ocLK8aEXR98/default.jpg,https://www.youtube.com/watch?v=ocLK8aEXR98
vX2KxYmJfjE,UCXIJgqnII2ZOINSWNOGFThA,"Trump, Coronavirus Task Force hold White House press briefing | 4/21/20",Fox News,News & Politics,none,808771,7959,0,1366,2020-04-21T23:10:35Z,"Fox News Channel,News,Fox News,President Trump,Coronavirus,COVID-19,Coronavirus Task Force,Live updates,Coronavirus news,white house,live stream,trump briefing,coronavirus pandemic,live video,president trump,task force,trump coronavirus briefing,covid-19 news,coronavirus latest news,trump live,trump coronavirus task force,trump live remarks,fox news channel,coronavirus response,covid-19 updates,trump fox news live,coronavirus updates",PT1H9M39S,hd,false,https://i.ytimg.com/vi/vX2KxYmJfjE/default.jpg,https://www.youtube.com/watch?v=vX2KxYmJfjE
N9TdWNrTLF8,UCXIJgqnII2ZOINSWNOGFThA,DNI Ratcliffe: Coronavirus pandemic created 'opportunity' to vote differently,Fox News,News & Politics,none,60843,1485,0,466,2020-12-06T17:30:00Z,"Fox News Channel,Fox News,news,politics,China,US China,Trump administration",PT3M42S,hd,true,https://i.ytimg.com/vi/N9TdWNrTLF8/default.jpg,https://www.youtube.com/watch?v=N9TdWNrTLF8
Wif4phkPTe0,UCXIJgqnII2ZOINSWNOGFThA,WHO researchers touchdown in Wuhan to study the origin of coronavirus,Fox News,News & Politics,none,66504,366,0,726,2021-01-14T23:45:37Z,"breaking news,fox news breaking news,breaking,fox news breaking,wuhan,who,world health organization,world health organization wuhan,origins of coronavirus,who investigates coronavirus,fox news who,who news,world health organization news,coronavirus,coronavirus in wuhan,coronavirus origin,coronavirus china,world health organization beijing,beijing,china coronavirus,fox news,fox news channel,fox news media,fox news network,fnc,bret baier,fox report",PT49S,hd,true,https://i.ytimg.com/vi/Wif4phkPTe0/default.jpg,https://www.youtube.com/watch?v=Wif4phkPTe0
qLy8ISicMDI,UCXIJgqnII2ZOINSWNOGFThA,Navy captain fired for flagging coronavirus outbreak on ship,Fox News,News & Politics,none,591929,5856,0,5167,2020-04-03T15:39:26Z,"Fox News Channel,Fox News,News,politics,breaking news,coronavirus,coronavirus cases,navy,us navy,military,us military,military coronavirus,navy captain,jennifer griffin,covid-19,covid 19,navy coronavirus,navy ship coronavirus,military coronavirus cases,us armed forces,coronavirus news,latest coronavirus,coronavirus updates,USS Theodore Roosevelt,thomas modly,pentagon,coronavirus outbreak,covid-19 updates,coronavirus latest news",PT2M38S,hd,true,https://i.ytimg.com/vi/qLy8ISicMDI/default.jpg,https://www.youtube.com/watch?v=qLy8ISicMDI
a1vKEIzvE08,UCXIJgqnII2ZOINSWNOGFThA,PM Justin Trudeau's wife tests positive for coronavirus: Report,Fox News,News & Politics,none,504188,4396,0,2009,2020-03-13T02:17:14Z,"Breaking News,Justin Trudeau,Justin Trudeau wife coronavirus,sophie trudeau,justin trudeau sophie trudeau,justin trudeau wife,canada coronavirus,novel coronavirus,world health organization,coronavirus outbreak,prime minister,canadian prime minister,canadian prime minister coronavirus,pm justin trudeau,fnc,fox news,fox news channel,fox news media,fox news network,donald trump speech,sean hannity,hannity,hannity tonight,breaking news sean hannity",PT23S,hd,true,https://i.ytimg.com/vi/a1vKEIzvE08/default.jpg,https://www.youtube.com/watch?v=a1vKEIzvE08
9LBUutWsfBc,UCXIJgqnII2ZOINSWNOGFThA,Traveling amid the coronavirus outbreak: What you need to know,Fox News,News & Politics,none,16968,224,0,127,2020-03-09T17:58:00Z,"health,coronavirus,virus,coronavirus update,travel,travel info,travel during coronavirus,fox news,fox news channel,travelling,fox,news",PT2M14S,hd,false,https://i.ytimg.com/vi/9LBUutWsfBc/default.jpg,https://www.youtube.com/watch?v=9LBUutWsfBc
iCz-flpshs4,UCXIJgqnII2ZOINSWNOGFThA,Scalise on Louisiana becoming the next possible epicenter for coronavirus,Fox News,News & Politics,none,68616,1135,0,682,2020-03-28T14:45:50Z,"Pete Hegseth,Hegseth,Fox and Friends,Weekend Fox and Friends,Griff Jenkins,steve scalise,scalise,coronavirus relief bill,relief bill,coronavirus stimulus package,Louisiana,louisiana coronavirus,coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus presser,coronavirus updates,covid-19,covid-19 pandemic,outbreak,pandemic,fnc,fox news,fox news channel,fox news media,fox news network,covid-19 outbreak,trump administration coronavirus",PT4M6S,hd,true,https://i.ytimg.com/vi/iCz-flpshs4/default.jpg,https://www.youtube.com/watch?v=iCz-flpshs4
rLezK6SQNNk,UCXIJgqnII2ZOINSWNOGFThA,Ingraham: Persistence not politics during the coronavirus crisis,Fox News,News & Politics,none,149108,2985,0,654,2020-03-20T03:30:05Z,"coronavirus,coronavirus outbreak,covid-19,anthony fauci,fox news,fox news channel,fox news media,fox news network,fox news ingraham angle,ingraham,ingraham angle,ingraham angle monologue,ingraham angle tonight,ingraham tonight,laura ingraham,laura ingraham angle,laura ingraham monologue,laura ingraham tonight,thats the angle,the angle,the ingraham angle,trump coronavirus,hydroxychloroquine,chloroquine,hydroxychloroquine coronavirus,coronavirus pandemic",PT6M7S,hd,true,https://i.ytimg.com/vi/rLezK6SQNNk/default.jpg,https://www.youtube.com/watch?v=rLezK6SQNNk
